from_node_id,to_node_id,distance_km,travel_hours,source_travel_minutes
L0000,L0000,0.0,0.0,0
L0000,L0001,61.0,1.0166666666666666,61
L0000,L0002,86.0,1.4333333333333333,86
L0000,L0003,61.0,1.0166666666666666,61
L0000,L0004,46.0,0.7666666666666667,46
L0000,L0005,36.0,0.6,36
L0000,L0006,31.0,0.5166666666666667,31
L0000,L0007,65.0,1.0833333333333333,65
L0000,L0008,31.0,0.5166666666666667,31
L0000,L0009,64.0,1.0666666666666667,64
L0000,L0010,49.0,0.8166666666666667,49
L0000,L0011,42.0,0.7,42
L0000,L0012,61.0,1.0166666666666666,61
L0000,L0013,25.0,0.4166666666666667,25
L0000,L0014,57.0,0.95,57
L0000,L0015,59.0,0.9833333333333333,59
L0000,L0016,30.0,0.5,30
L0000,L0017,38.0,0.6333333333333333,38
L0000,L0018,64.0,1.0666666666666667,64
L0000,L0019,64.0,1.0666666666666667,64
L0000,L0020,43.0,0.7166666666666667,43
L0000,L0021,40.0,0.6666666666666666,40
L0000,L0022,43.0,0.7166666666666667,43
L0000,L0023,72.0,1.2,72
L0000,L0024,61.0,1.0166666666666666,61
L0000,L0025,12.0,0.2,12
L0000,L0026,52.0,0.8666666666666667,52
L0000,L0027,64.0,1.0666666666666667,64
L0000,L0028,55.0,0.9166666666666666,55
L0000,L0029,27.0,0.45,27
L0000,L0030,30.0,0.5,30
L0000,L0031,27.0,0.45,27
L0000,L0032,23.0,0.38333333333333336,23
L0000,L0033,62.0,1.0333333333333334,62
L0000,L0034,58.0,0.9666666666666667,58
L0000,L0035,28.0,0.4666666666666667,28
L0000,L0036,26.0,0.43333333333333335,26
L0000,L0037,34.0,0.5666666666666667,34
L0000,L0038,62.0,1.0333333333333334,62
L0000,L0039,65.0,1.0833333333333333,65
L0000,L0040,16.0,0.26666666666666666,16
L0000,L0041,43.0,0.7166666666666667,43
L0000,L0042,47.0,0.7833333333333333,47
L0000,L0043,56.0,0.9333333333333333,56
L0000,L0044,47.0,0.7833333333333333,47
L0000,L0045,31.0,0.5166666666666667,31
L0000,L0046,49.0,0.8166666666666667,49
L0000,L0047,60.0,1.0,60
L0000,L0048,60.0,1.0,60
L0000,L0049,66.0,1.1,66
L0000,L0050,56.0,0.9333333333333333,56
L0000,L0051,72.0,1.2,72
L0000,L0052,41.0,0.6833333333333333,41
L0000,L0053,26.0,0.43333333333333335,26
L0000,L0054,49.0,0.8166666666666667,49
L0000,L0055,42.0,0.7,42
L0000,L0056,61.0,1.0166666666666666,61
L0000,L0057,63.0,1.05,63
L0000,L0058,59.0,0.9833333333333333,59
L0000,L0059,21.0,0.35,21
L0000,L0060,15.0,0.25,15
L0000,L0061,24.0,0.4,24
L0000,L0062,33.0,0.55,33
L0000,L0063,40.0,0.6666666666666666,40
L0000,L0064,20.0,0.3333333333333333,20
L0000,L0065,44.0,0.7333333333333333,44
L0000,L0066,31.0,0.5166666666666667,31
L0000,L0067,73.0,1.2166666666666666,73
L0000,L0068,74.0,1.2333333333333334,74
L0000,L0069,51.0,0.85,51
L0000,L0070,41.0,0.6833333333333333,41
L0000,L0071,18.0,0.3,18
L0000,L0072,61.0,1.0166666666666666,61
L0000,L0073,67.0,1.1166666666666667,67
L0000,L0074,7.0,0.11666666666666667,7
L0000,L0075,49.0,0.8166666666666667,49
L0000,L0076,65.0,1.0833333333333333,65
L0000,L0077,24.0,0.4,24
