scenario_id,probability,empty_risk_per_km
S001,0.01,0.0042457405
S002,0.01,0.0119309122
S003,0.01,0.00125
S004,0.01,0.0064202899
S005,0.01,0.0042359371
S006,0.01,0.00125
S007,0.01,0.0068000162
S008,0.01,0.001326843
S009,0.01,0.0078722469
S010,0.01,0.001326843
S011,0.01,0.0025938111
S012,0.01,0.0033885289
S013,0.01,0.00125
S014,0.01,0.0038458343
S015,0.01,0.0039795756
S016,0.01,0.00125
S017,0.01,0.0033092003
S018,0.01,0.00125
S019,0.01,0.00125
S020,0.01,0.0042992496
S021,0.01,0.00125
S022,0.01,0.0024108065
S023,0.01,0.0073810323
S024,0.01,0.00125
S025,0.01,0.00125
S026,0.01,0.0060143286
S027,0.01,0.0053465583
S028,0.01,0.0077428963
S029,0.01,0.0029919433
S030,0.01,0.0029478677
S031,0.01,0.0038406797
S032,0.01,0.018484252
S033,0.01,0.0024033444
S034,0.01,0.0076370654
S035,0.01,0.0039795756
S036,0.01,0.0056541447
S037,0.01,0.0033078991
S038,0.01,0.0049101387
S039,0.01,0.001326843
S040,0.01,0.0049101387
S041,0.01,0.0092045998
S042,0.01,0.0109788362
S043,0.01,0.00125
S044,0.01,0.0038406797
S045,0.01,0.0052066579
S046,0.01,0.0041106678
S047,0.01,0.00125
S048,0.01,0.0092045998
S049,0.01,0.0069844469
S050,0.01,0.00125
S051,0.01,0.0032161683
S052,0.01,0.0053964347
S053,0.01,0.0017518306
S054,0.01,0.0042317626
S055,0.01,0.00125
S056,0.01,0.00125
S057,0.01,0.00125
S058,0.01,0.006352115
S059,0.01,0.0023692356
S060,0.01,0.0034919078
S061,0.01,0.0042086943
S062,0.01,0.0069524247
S063,0.01,0.00125
S064,0.01,0.0020904084
S065,0.01,0.0033199546
S066,0.01,0.0106083858
S067,0.01,0.0056541447
S068,0.01,0.00125
S069,0.01,0.0025379436
S070,0.01,0.0025379436
S071,0.01,0.00125
S072,0.01,0.0035280323
S073,0.01,0.0037614506
S074,0.01,0.0109788362
S075,0.01,0.00125
S076,0.01,0.0064202899
S077,0.01,0.0043416926
S078,0.01,0.0053964347
S079,0.01,0.0076370654
S080,0.01,0.0038406797
S081,0.01,0.0020446974
S082,0.01,0.0026324505
S083,0.01,0.00125
S084,0.01,0.0045693173
S085,0.01,0.00125
S086,0.01,0.00125
S087,0.01,0.0029373752
S088,0.01,0.0031986641
S089,0.01,0.0023901186
S090,0.01,0.0068190915
S091,0.01,0.0029584893
S092,0.01,0.0033199546
S093,0.01,0.0043747956
S094,0.01,0.0085120899
S095,0.01,0.0064202899
S096,0.01,0.0062277188
S097,0.01,0.00125
S098,0.01,0.00125
S099,0.01,0.0049101387
S100,0.01,0.0046765818
