scenario_id,probability,empty_risk_per_km
S001,0.01,0.00125
S002,0.01,0.0028685828
S003,0.01,0.00125
S004,0.01,0.0055881595
S005,0.01,0.0130307971
S006,0.01,0.0041391817
S007,0.01,0.00125
S008,0.01,0.0026324505
S009,0.01,0.001326843
S010,0.01,0.0032756467
S011,0.01,0.0099298994
S012,0.01,0.00125
S013,0.01,0.0091042844
S014,0.01,0.0021050345
S015,0.01,0.00125
S016,0.01,0.0016872599
S017,0.01,0.0028630946
S018,0.01,0.00125
S019,0.01,0.0040447954
S020,0.01,0.0021050345
S021,0.01,0.0044994259
S022,0.01,0.0042086943
S023,0.01,0.0092449092
S024,0.01,0.0034515622
S025,0.01,0.00125
S026,0.01,0.0044157314
S027,0.01,0.0042261413
S028,0.01,0.0033199546
S029,0.01,0.0143601269
S030,0.01,0.00125
S031,0.01,0.0031986641
S032,0.01,0.0042898585
S033,0.01,0.0023901186
S034,0.01,0.0070434956
S035,0.01,0.00125
S036,0.01,0.00125
S037,0.01,0.0052490494
S038,0.01,0.008483702
S039,0.01,0.00125
S040,0.01,0.0029373752
S041,0.01,0.0033092003
S042,0.01,0.0084934945
S043,0.01,0.0029919433
S044,0.01,0.001326843
S045,0.01,0.0079872906
S046,0.01,0.0037169458
S047,0.01,0.0037665041
S048,0.01,0.0045693173
S049,0.01,0.00125
S050,0.01,0.0034351869
S051,0.01,0.0026290835
S052,0.01,0.005626118
S053,0.01,0.00125
S054,0.01,0.0052905619
S055,0.01,0.0091499209
S056,0.01,0.00125
S057,0.01,0.0040604357
S058,0.01,0.00125
S059,0.01,0.00125
S060,0.01,0.0043416926
S061,0.01,0.0087740669
S062,0.01,0.0029919433
S063,0.01,0.00125
S064,0.01,0.007999282
S065,0.01,0.0070488988
S066,0.01,0.0091905883
S067,0.01,0.005626118
S068,0.01,0.00125
S069,0.01,0.0023780544
S070,0.01,0.0052938866
S071,0.01,0.0042121328
S072,0.01,0.0042992496
S073,0.01,0.0025500875
S074,0.01,0.0054572339
S075,0.01,0.00125
S076,0.01,0.0042359371
S077,0.01,0.015571741
S078,0.01,0.003962464
S079,0.01,0.0032914313
S080,0.01,0.007315445
S081,0.01,0.0029554912
S082,0.01,0.00125
S083,0.01,0.00125
S084,0.01,0.0048981364
S085,0.01,0.0037182185
S086,0.01,0.0028685828
S087,0.01,0.0119354768
S088,0.01,0.00125
S089,0.01,0.00125
S090,0.01,0.0055881595
S091,0.01,0.0025500875
S092,0.01,0.00125
S093,0.01,0.0020904084
S094,0.01,0.00125
S095,0.01,0.00125
S096,0.01,0.0077087696
S097,0.01,0.00125
S098,0.01,0.0024789123
S099,0.01,0.0039285635
S100,0.01,0.00125
