scenario_id,probability,empty_risk_per_km
S001,0.01,0.0041577262
S002,0.01,0.002523963
S003,0.01,0.0037916771
S004,0.01,0.00125
S005,0.01,0.00125
S006,0.01,0.00125
S007,0.01,0.00125
S008,0.01,0.00125
S009,0.01,0.0040598433
S010,0.01,0.0038582525
S011,0.01,0.00125
S012,0.01,0.0038232984
S013,0.01,0.00125
S014,0.01,0.005955006
S015,0.01,0.0051074867
S016,0.01,0.0027636068
S017,0.01,0.0032031891
S018,0.01,0.0069039903
S019,0.01,0.0031673649
S020,0.01,0.00125
S021,0.01,0.00125
S022,0.01,0.0034548269
S023,0.01,0.00125
S024,0.01,0.008483702
S025,0.01,0.0038979983
S026,0.01,0.0028907155
S027,0.01,0.0085142503
S028,0.01,0.0053804063
S029,0.01,0.0031052233
S030,0.01,0.015571741
S031,0.01,0.0038232984
S032,0.01,0.00125
S033,0.01,0.0045153486
S034,0.01,0.0020130758
S035,0.01,0.00125
S036,0.01,0.00125
S037,0.01,0.0038505244
S038,0.01,0.0036794144
S039,0.01,0.0017518306
S040,0.01,0.008483702
S041,0.01,0.0061372342
S042,0.01,0.0020130758
S043,0.01,0.0032756467
S044,0.01,0.0042359371
S045,0.01,0.0043622462
S046,0.01,0.00125
S047,0.01,0.0088623822
S048,0.01,0.013317029
S049,0.01,0.0064394281
S050,0.01,0.0041577262
S051,0.01,0.00125
S052,0.01,0.0025566039
S053,0.01,0.0039709374
S054,0.01,0.00125
S055,0.01,0.0036877841
S056,0.01,0.0040568473
S057,0.01,0.00125
S058,0.01,0.0036877841
S059,0.01,0.0074416989
S060,0.01,0.00125
S061,0.01,0.00125
S062,0.01,0.0023692356
S063,0.01,0.00125
S064,0.01,0.00125
S065,0.01,0.0091499209
S066,0.01,0.00125
S067,0.01,0.00125
S068,0.01,0.0018587955
S069,0.01,0.0017562323
S070,0.01,0.0043416926
S071,0.01,0.0041577262
S072,0.01,0.00125
S073,0.01,0.00125
S074,0.01,0.015571741
S075,0.01,0.0052671472
S076,0.01,0.0024075552
S077,0.01,0.0023635701
S078,0.01,0.0042481605
S079,0.01,0.0024033444
S080,0.01,0.0062277188
S081,0.01,0.0038232984
S082,0.01,0.0042359371
S083,0.01,0.00125
S084,0.01,0.0078722469
S085,0.01,0.0091905883
S086,0.01,0.0035280323
S087,0.01,0.0035750171
S088,0.01,0.00125
S089,0.01,0.0039285635
S090,0.01,0.0040447954
S091,0.01,0.0084357526
S092,0.01,0.0029539018
S093,0.01,0.0019062964
S094,0.01,0.0037540378
S095,0.01,0.0020446974
S096,0.01,0.0079429357
S097,0.01,0.0018587955
S098,0.01,0.00125
S099,0.01,0.00125
S100,0.01,0.003016771
