scenario_id,probability,empty_risk_per_km
S001,0.01,0.00125
S002,0.01,0.0028297043
S003,0.01,0.00125
S004,0.01,0.0085120899
S005,0.01,0.0088623822
S006,0.01,0.0024033444
S007,0.01,0.0026324505
S008,0.01,0.0025253585
S009,0.01,0.0026899884
S010,0.01,0.0042261413
S011,0.01,0.0053804063
S012,0.01,0.00125
S013,0.01,0.00125
S014,0.01,0.0043416926
S015,0.01,0.0026290835
S016,0.01,0.0036636668
S017,0.01,0.0060143286
S018,0.01,0.0056160558
S019,0.01,0.00125
S020,0.01,0.002523963
S021,0.01,0.0019145619
S022,0.01,0.00125
S023,0.01,0.0040589005
S024,0.01,0.0064394281
S025,0.01,0.0027752485
S026,0.01,0.00125
S027,0.01,0.0025253585
S028,0.01,0.0038979983
S029,0.01,0.0025566039
S030,0.01,0.00125
S031,0.01,0.00125
S032,0.01,0.0079872906
S033,0.01,0.0096759339
S034,0.01,0.0028630946
S035,0.01,0.0040163994
S036,0.01,0.0028500885
S037,0.01,0.0020270978
S038,0.01,0.0032756467
S039,0.01,0.0037614506
S040,0.01,0.0033885289
S041,0.01,0.0049121686
S042,0.01,0.00125
S043,0.01,0.005626118
S044,0.01,0.0020270978
S045,0.01,0.0020270978
S046,0.01,0.0032914313
S047,0.01,0.0025566039
S048,0.01,0.0064394281
S049,0.01,0.0041391817
S050,0.01,0.00283938
S051,0.01,0.0028337435
S052,0.01,0.00125
S053,0.01,0.0054338306
S054,0.01,0.00125
S055,0.01,0.00125
S056,0.01,0.0049121686
S057,0.01,0.00125
S058,0.01,0.00125
S059,0.01,0.00125
S060,0.01,0.00125
S061,0.01,0.00125
S062,0.01,0.00125
S063,0.01,0.0116707701
S064,0.01,0.00125
S065,0.01,0.0058979794
S066,0.01,0.00125
S067,0.01,0.0032292597
S068,0.01,0.00125
S069,0.01,0.004234179
S070,0.01,0.0099298994
S071,0.01,0.00125
S072,0.01,0.00125
S073,0.01,0.0042155812
S074,0.01,0.00499034
S075,0.01,0.0061545015
S076,0.01,0.0024033444
S077,0.01,0.00125
S078,0.01,0.00125
S079,0.01,0.0040568473
S080,0.01,0.0035569589
S081,0.01,0.0027730216
S082,0.01,0.00125
S083,0.01,0.0085120899
S084,0.01,0.00125
S085,0.01,0.0033199546
S086,0.01,0.0042261413
S087,0.01,0.0026066817
S088,0.01,0.0019145619
S089,0.01,0.006076125
S090,0.01,0.006352115
S091,0.01,0.0029919433
S092,0.01,0.00125
S093,0.01,0.0020446974
S094,0.01,0.0017562323
S095,0.01,0.0097599281
S096,0.01,0.00125
S097,0.01,0.0032031891
S098,0.01,0.00125
S099,0.01,0.0021852114
S100,0.01,0.0031673649
