scenario_id,probability,empty_risk_per_km
S001,0.01,0.00125
S002,0.01,0.0078847997
S003,0.01,0.0062277188
S004,0.01,0.00125
S005,0.01,0.0029478677
S006,0.01,0.0041577262
S007,0.01,0.0016187712
S008,0.01,0.0064202899
S009,0.01,0.00125
S010,0.01,0.0068000162
S011,0.01,0.0099298994
S012,0.01,0.0077428963
S013,0.01,0.0016335079
S014,0.01,0.0033322576
S015,0.01,0.0033460372
S016,0.01,0.005626118
S017,0.01,0.0021879685
S018,0.01,0.0033092003
S019,0.01,0.0035569589
S020,0.01,0.00125
S021,0.01,0.0035840763
S022,0.01,0.0119309122
S023,0.01,0.0054338306
S024,0.01,0.0037182185
S025,0.01,0.00125
S026,0.01,0.0092449092
S027,0.01,0.0117048956
S028,0.01,0.0038695577
S029,0.01,0.00125
S030,0.01,0.0079429357
S031,0.01,0.0032418974
S032,0.01,0.0035280323
S033,0.01,0.00125
S034,0.01,0.00125
S035,0.01,0.0041194761
S036,0.01,0.0063202715
S037,0.01,0.0045693173
S038,0.01,0.003962464
S039,0.01,0.008483702
S040,0.01,0.0079182072
S041,0.01,0.0053804063
S042,0.01,0.010453084
S043,0.01,0.007315445
S044,0.01,0.0091389772
S045,0.01,0.002741511
S046,0.01,0.0074548664
S047,0.01,0.007999282
S048,0.01,0.0028285692
S049,0.01,0.0049219416
S050,0.01,0.00125
S051,0.01,0.0025500875
S052,0.01,0.00125
S053,0.01,0.00125
S054,0.01,0.0053465583
S055,0.01,0.0035840763
S056,0.01,0.00125
S057,0.01,0.0063989582
S058,0.01,0.0131545038
S059,0.01,0.0022963064
S060,0.01,0.003330745
S061,0.01,0.0020130758
S062,0.01,0.00125
S063,0.01,0.00125
S064,0.01,0.0042992496
S065,0.01,0.0039709374
S066,0.01,0.0053804063
S067,0.01,0.00125
S068,0.01,0.0037169458
S069,0.01,0.0033212098
S070,0.01,0.00125
S071,0.01,0.0038232984
S072,0.01,0.00125
S073,0.01,0.0059605681
S074,0.01,0.0076370654
S075,0.01,0.00125
S076,0.01,0.0119309122
S077,0.01,0.0033092003
S078,0.01,0.00125
S079,0.01,0.00125
S080,0.01,0.007092459
S081,0.01,0.00125
S082,0.01,0.0091905883
S083,0.01,0.00283938
S084,0.01,0.0039591921
S085,0.01,0.00125
S086,0.01,0.013737937
S087,0.01,0.0028297043
S088,0.01,0.0026899884
S089,0.01,0.0032914313
S090,0.01,0.0033885289
S091,0.01,0.0042086943
S092,0.01,0.0020270978
S093,0.01,0.0047132632
S094,0.01,0.00125
S095,0.01,0.0026324505
S096,0.01,0.0027730216
S097,0.01,0.0023894928
S098,0.01,0.0017562323
S099,0.01,0.0087740669
S100,0.01,0.0070488988
