scenario_id,probability,empty_risk_per_km
S001,0.01,0.0016187712
S002,0.01,0.0116707701
S003,0.01,0.00125
S004,0.01,0.0043158248
S005,0.01,0.0025938111
S006,0.01,0.0027039351
S007,0.01,0.00125
S008,0.01,0.0052905619
S009,0.01,0.00125
S010,0.01,0.00125
S011,0.01,0.0022986177
S012,0.01,0.0018587955
S013,0.01,0.0035280323
S014,0.01,0.00125
S015,0.01,0.00125
S016,0.01,0.00125
S017,0.01,0.00125
S018,0.01,0.0069039903
S019,0.01,0.0024789123
S020,0.01,0.00125
S021,0.01,0.0056622163
S022,0.01,0.0051074867
S023,0.01,0.00125
S024,0.01,0.0043747956
S025,0.01,0.00125
S026,0.01,0.0037182185
S027,0.01,0.0048981364
S028,0.01,0.00125
S029,0.01,0.0043747956
S030,0.01,0.0037916771
S031,0.01,0.00125
S032,0.01,0.00125
S033,0.01,0.00125
S034,0.01,0.0068190915
S035,0.01,0.00125
S036,0.01,0.0038505244
S037,0.01,0.0060143286
S038,0.01,0.0052671472
S039,0.01,0.00125
S040,0.01,0.0017518306
S041,0.01,0.0041106678
S042,0.01,0.00125
S043,0.01,0.00125
S044,0.01,0.003056944
S045,0.01,0.00125
S046,0.01,0.0119354768
S047,0.01,0.00125
S048,0.01,0.018484252
S049,0.01,0.0048697547
S050,0.01,0.0053450113
S051,0.01,0.0034551671
S052,0.01,0.0092449092
S053,0.01,0.0040568473
S054,0.01,0.0027039351
S055,0.01,0.0026870898
S056,0.01,0.0117048956
S057,0.01,0.00125
S058,0.01,0.0063989582
S059,0.01,0.0042086943
S060,0.01,0.0025253585
S061,0.01,0.0091905883
S062,0.01,0.0023780544
S063,0.01,0.0040336602
S064,0.01,0.0044994259
S065,0.01,0.0026324505
S066,0.01,0.0057578043
S067,0.01,0.0040336602
S068,0.01,0.00125
S069,0.01,0.0046577054
S070,0.01,0.0030838469
S071,0.01,0.0019062964
S072,0.01,0.001326843
S073,0.01,0.0049121686
S074,0.01,0.00125
S075,0.01,0.0052490494
S076,0.01,0.0081336256
S077,0.01,0.00125
S078,0.01,0.0084888989
S079,0.01,0.00125
S080,0.01,0.00125
S081,0.01,0.0038505244
S082,0.01,0.0042793304
S083,0.01,0.0025938111
S084,0.01,0.0029478677
S085,0.01,0.0027730216
S086,0.01,0.00125
S087,0.01,0.00125
S088,0.01,0.00125
S089,0.01,0.0035996524
S090,0.01,0.0040598433
S091,0.01,0.003016771
S092,0.01,0.00125
S093,0.01,0.0023635701
S094,0.01,0.0042121328
S095,0.01,0.0037916771
S096,0.01,0.0117048956
S097,0.01,0.006352115
S098,0.01,0.0032292597
S099,0.01,0.003607891
S100,0.01,0.0081336256
