experiment,test_id,instance_id,N,ECP_status,ECP_success,ECP_certificate,ECP_validation_passed,ECP_objective,ECP_LB,ECP_gap,ECP_runtime_s,reference_method,reference_objective,ECP_objective_matches_reference,Compact_status,Compact_certificate,Compact_objective,Compact_runtime_s,Compact_over_ECP_time,Standard_BP_status,Standard_BP_certificate,Standard_BP_objective,Standard_BP_runtime_s,Standard_BP_over_ECP_time,Static_RP_status,Static_RP_objective,Static_RP_runtime_s,RCG_ED_status,RCG_ED_certificate,RCG_ED_objective,RCG_ED_runtime_s,RCG_ED_over_ECP_time,instance_sha256,ECP_result_origin,baseline_result_origin
A2,HO_100_01,stress_N0100_A050_C050_DL_O110_S20267901,100,CERTIFIED_OPTIMAL,True,True,True,841711.8853178677,841711.8815824351,0.0,0.2703736000112258,Standard B&P,841711.8853178679,True,OPTIMAL,True,841712.6725612639,0.4959951000055298,1.8344805113551632,OPTIMAL,True,841711.8853178679,0.2598305999999866,0.9610058082194362,FEASIBLE_RESTRICTED_POOL,858391.2106659724,0.24698060000082478,OPTIMAL,True,841711.8853178677,0.5365894000278786,1.9846220193302884,864a2f2b69d2aace7f90dfaa2ab1740513e20b123b7935e37f05c187a75f2d19,new_ecp_formal_run,reused_frozen_baseline
A2,HO_100_02,stress_N0100_A050_C080_DM_O090_S20267902,100,CERTIFIED_OPTIMAL,True,True,True,774487.169457412,774487.169457412,0.0,0.49506729999848176,Standard B&P,774487.1694574119,True,OPTIMAL,True,774487.1694574119,1.0121422000229359,2.044453754117955,OPTIMAL,True,774487.1694574119,0.5190660000080243,1.0484756315143742,FEASIBLE_RESTRICTED_POOL,827936.1671231926,0.29025130000081845,OPTIMAL,True,774487.1694574119,0.4893753999785986,0.988502775239042,5e0dbb5b557dea7231cf2caa9a22a4952cf5b8a57efaae6cedd2e29c9a0763d3,new_ecp_formal_run,reused_frozen_baseline
A2,HO_100_03,stress_N0100_A080_C050_DH_O110_S20267903,100,CERTIFIED_OPTIMAL,True,True,True,749745.6632071227,749745.6632071227,0.0,0.6760886000120081,Standard B&P,749745.6632071227,True,OPTIMAL,True,749745.6632071227,1.4023090999980923,2.074149896882133,OPTIMAL,True,749745.6632071227,0.6397409000201151,0.9462382593180133,FEASIBLE_RESTRICTED_POOL,901618.9795806586,0.4393958000000566,OPTIMAL,True,749745.6632071227,0.6462463000207208,0.9558603709768849,f8d760731a341163dcd0bfaf32c55b44ba6e086f64011dda6f334ad0d6d78a22,new_ecp_formal_run,reused_frozen_baseline
A2,HO_100_04,stress_N0100_A100_C080_DM_O090_S20267904,100,CERTIFIED_OPTIMAL,True,True,True,676328.2711940039,676328.2711940039,0.0,0.6076067999965744,Standard B&P,676328.2711940041,True,OPTIMAL,True,676328.2711940042,2.011440100002801,3.3104305284505395,OPTIMAL,True,676328.2711940041,0.6474189999862574,1.0655229664808021,FEASIBLE_RESTRICTED_POOL,756408.3256067915,0.4388281999854371,OPTIMAL,True,676328.2711940041,0.6261775999737438,1.0305638448701926,352b9c064458ab8db89d42c1e335b1f61b85f02081dfc97cdcfab2392c487531,new_ecp_formal_run,reused_frozen_baseline
A2,HO_200_01,stress_N0200_A050_C050_DL_O110_S20267905,200,CERTIFIED_OPTIMAL,True,True,True,1660201.1630438603,1660201.1630438603,0.0,0.727476599990041,Standard B&P,1660201.16304386,True,OPTIMAL,True,1660201.1630438608,2.22898349998286,3.0639933985689356,OPTIMAL,True,1660201.16304386,0.6364481000055093,0.8748708893375019,FEASIBLE_RESTRICTED_POOL,1796078.237371998,0.4933712999918498,OPTIMAL,True,1660201.16304386,0.6460378999763634,0.8880531689750675,24348390c21c700c7e84011d03e81d3fd6bc5f6a772405277a4d2c4c9204b37e,new_ecp_formal_run,reused_frozen_baseline
A2,HO_200_02,stress_N0200_A050_C080_DM_O090_S20267906,200,CERTIFIED_OPTIMAL,True,True,True,1483839.0936984401,1483839.0936984401,0.0,2.2921181000128854,Standard B&P,1483839.0936984404,True,OPTIMAL,True,1483839.0936984401,12.028271999995923,5.247666775952035,OPTIMAL,True,1483839.0936984404,2.526850199996261,1.1024083793858859,FEASIBLE_RESTRICTED_POOL,1604926.1714511195,1.182646700006444,OPTIMAL,True,1483839.0936984404,2.4318044999963604,1.0609420605258908,d2adfae6e7cd07170d6af1e0d9a1776222bfbb87383b5c0bde531b560fddffc3,new_ecp_formal_run,reused_frozen_baseline
A2,HO_200_03,stress_N0200_A080_C050_DH_O110_S20267907,200,CERTIFIED_OPTIMAL,True,True,True,1465523.8534147402,1465522.6254405389,0.0,9.572912399991765,Standard B&P,1465524.1921963443,True,OPTIMAL,True,1465524.4768498852,39.10379730002023,4.0848381000596925,OPTIMAL,True,1465524.1921963443,15.341960399993695,1.6026429323647517,FEASIBLE_RESTRICTED_POOL,1817529.435217663,2.2984139999898616,OPTIMAL,True,1465524.192196345,11.395189700007904,1.190357670045921,23d126b80286146974bfd00018de05aa4c007f28bd9a33d97c50c44bf73aa5cb,new_ecp_formal_run,reused_frozen_baseline
A2,HO_200_04,stress_N0200_A100_C080_DM_O090_S20267908,200,CERTIFIED_OPTIMAL,True,True,True,1392014.0961329942,1392014.0961329942,0.0,4.923543600001722,Standard B&P,1392014.096132994,True,OPTIMAL,True,1392014.0961329949,41.88962430000538,8.508023428489743,OPTIMAL,True,1392014.096132994,6.974014000006719,1.4164623219756356,FEASIBLE_RESTRICTED_POOL,1574850.2172707063,2.2238164999871515,OPTIMAL,True,1392014.096132994,7.16624370001955,1.4555052787624434,21d05e4c013a2f68b9411ec57a21a15dea6ecf9a9a3fadcaec74320855024834,new_ecp_formal_run,reused_frozen_baseline
A2,HO_400_01,stress_N0400_A050_C050_DL_O110_S20267909,400,CERTIFIED_OPTIMAL,True,True,True,3181772.625188091,3181772.625188091,0.0,5.238977300003171,Standard B&P,3181772.625188092,True,OPTIMAL,True,3181772.625188094,62.67681220002123,11.963558651033532,OPTIMAL,True,3181772.625188092,5.549365500017302,1.0592459524521978,FEASIBLE_RESTRICTED_POOL,3602824.0987880686,2.328044099995168,OPTIMAL,True,3181772.625188092,5.56749280000804,1.0627060361579865,da608ab41d63c7edafa25bdcd3545e8a3eb939f106a41212c2e94249c0fa91da,new_ecp_formal_run,reused_frozen_baseline
A2,HO_400_02,stress_N0400_A050_C080_DM_O090_S20267910,400,CERTIFIED_OPTIMAL,True,True,True,2827485.8454814213,2827485.8454814213,0.0,23.97299739999289,Standard B&P,2827485.8454814204,True,OPTIMAL,True,2827485.845481424,409.42386519999127,17.07854292764044,OPTIMAL,True,2827485.8454814204,38.77452010000707,1.6174247822685104,FEASIBLE_RESTRICTED_POOL,3101534.110056268,7.959369499993045,OPTIMAL,True,2827485.8454814204,38.12806749998708,1.590458917748783,5448cdee2813d34f00517a94c4a7c07410201738c0cb2c7f4e364683a082bf45,new_ecp_formal_run,reused_frozen_baseline
A2,HO_400_03,stress_N0400_A080_C050_DH_O110_S20267911,400,FEASIBLE_UNCERTIFIED,True,False,True,2910734.6203704323,2910730.8453744706,1.2969220674647978e-06,601.3282229000033,Standard B&P,2910733.206962352,True,TIMEOUT,False,3911884.7677772064,600.2223567000183,0.9981609607567531,OPTIMAL,True,2910733.206962352,121.31349190001492,0.20174255469826585,FEASIBLE_RESTRICTED_POOL,3765293.4070441923,10.535752099996898,OPTIMAL,True,2910733.0243480606,305.16537230001995,0.5074855306612922,d9ca3e5e1af6b6f85c4839eb8f4b14aabdd4f3305002e437ff391ef8aaa2065d,new_ecp_formal_run,reused_frozen_baseline
A2,HO_400_04,stress_N0400_A100_C080_DM_O090_S20267912,400,CERTIFIED_OPTIMAL,True,True,True,2697743.9796418855,2697743.9796418855,0.0,66.20046880000154,Standard B&P,2697743.979641885,True,TIMEOUT,False,3152770.2843155134,600.5480304000084,9.071658272002969,OPTIMAL,True,2697743.979641885,133.69622640000307,2.019566157513373,FEASIBLE_RESTRICTED_POOL,3115764.0043149944,16.40343840001151,OPTIMAL,True,2697743.979641885,132.76464680000208,2.0054940577701617,477bf1a3ad082a80edcca7dea90014f0a13528f9c30b23f130fd1b91e70d117f,new_ecp_formal_run,reused_frozen_baseline
