job_key,status,stage,instance_id,method,repeat,seed,runtime_s,time_limit_s,returncode,algorithm_hash,solver_runner_hash,solver_config_hash,instance_hash,instance_file,policy_id,protocol,risk_missing_rule,worker_result_file,validation_file,raw_log_file,job_result_file,metadata_N,metadata_admission,metadata_compatibility,metadata_DAG,metadata_outsource_multiplier,metadata_main_seed,metadata_second_seed,objective,UB,LB,root_LP,root_gap,root_integrality,pricing_iterations,generated_columns,retained_columns,node_count,fallback_used,rmp_s,pricing_s,closure_s,compact_s,bp_s,validation_s,certificate,worker_self_task_count,worker_outsource_task_count,worker_self_ton_km,worker_outsource_ton_km,recomputed_gap
40b95bcc00a0f515741be4df28429a065a9237d84e033da6ed684ffa5559892e,OPTIMAL,C,stress_N0400_A100_C080_DM_O110_S20268106,RCG_ED,1,20268106,372.8297796000006,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,6143386f64354e25d5eb74c03df8298a217026ab97c7aef73550277512a73240,dd804d529e4d72d9f22d7c47df2f10532c097484d3dac982692441281e091687,data/instances/stage_c_structural/STR_106/instances/stress_N0400_A100_C080_DM_O110_S20268106,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O110_S20268106/RCG_ED/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O110_S20268106/RCG_ED/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O110_S20268106/RCG_ED/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O110_S20268106/RCG_ED/repeat_01/job_result.json,400,1.0,0.8,M,1.1,20268106,20268106,2841637.3541021477,2841637.3541021477,2841637.3541021477,,,,,,,1.0,False,,,,,,,True,358,42,,,0.0
b1619f8c3d66b4efbd03caa46e990c9e312e77e6c8bbeb734e60d1b541d51dd9,FEASIBLE,C,stress_N0400_A100_C080_DM_O110_S20268106,COMPACT_GUROBI,1,20268106,602.6440349000004,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,76804246684891e31ae6c4e3a2e0184e3e8bab4b4394723828eb82c6caf79ad9,dd804d529e4d72d9f22d7c47df2f10532c097484d3dac982692441281e091687,data/instances/stage_c_structural/STR_106/instances/stress_N0400_A100_C080_DM_O110_S20268106,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O110_S20268106/COMPACT_GUROBI/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O110_S20268106/COMPACT_GUROBI/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O110_S20268106/COMPACT_GUROBI/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O110_S20268106/COMPACT_GUROBI/repeat_01/job_result.json,400,1.0,0.8,M,1.1,20268106,20268106,3940671.2109821285,3940671.2109821285,0.0,,,,,,,1.0,,,,,,,,False,0,400,,,1.0
3fbfbec7556f3e864a5e24dbf06cfbdbe036ba7b8fa061b0779249696df398a5,OPTIMAL,C,stress_N0400_A100_C080_DM_O090_S20268105,RCG_ED,1,20268105,118.82682370000111,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,35fc73d5d15eb66fc2740672c449f7ea4112d3555b7a6a692213bd5c580faee1,384446b5cd660f1f320a63bb6bf5e49d088f5fe863f2a8498d1ea9b227793d7b,data/instances/stage_c_structural/STR_105/instances/stress_N0400_A100_C080_DM_O090_S20268105,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O090_S20268105/RCG_ED/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O090_S20268105/RCG_ED/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O090_S20268105/RCG_ED/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O090_S20268105/RCG_ED/repeat_01/job_result.json,400,1.0,0.8,M,0.9,20268105,20268105,2745165.313484874,2745165.313484874,2745165.313484874,,,,,,,1.0,False,,,,,,,True,277,123,,,0.0
5b81578e9849ed62d7792523cb7830a3d782e382589c852a9b70ece459f11f56,FEASIBLE,C,stress_N0400_A100_C080_DM_O090_S20268105,COMPACT_GUROBI,1,20268105,602.8149099000002,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,3a0b79a4064378a4fb8c89123edc702e19e681a0e228d77a804de5b55ae97d76,384446b5cd660f1f320a63bb6bf5e49d088f5fe863f2a8498d1ea9b227793d7b,data/instances/stage_c_structural/STR_105/instances/stress_N0400_A100_C080_DM_O090_S20268105,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O090_S20268105/COMPACT_GUROBI/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O090_S20268105/COMPACT_GUROBI/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O090_S20268105/COMPACT_GUROBI/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DM_O090_S20268105/COMPACT_GUROBI/repeat_01/job_result.json,400,1.0,0.8,M,0.9,20268105,20268105,3208931.1437735795,3208931.1437735795,18314.09153294,,,,,,,1.0,,,,,,,,False,0,400,,,0.9942927751602039
b38cc0d7ffb5f1f9d5f96128584075b908694c9f6a946bdf5d36a470ff31c61a,OPTIMAL,C,stress_N0400_A100_C080_DL_O110_S20268104,RCG_ED,1,20268104,79.58165329999974,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,29690b1d8f09e04b1b7061933bf43517bc214a4fe45f3b41061636a76b46eaf3,c21edf4e0387166609cd3dcef900698cb574bd5e8bf3a8f9116cb6bf75ced682,data/instances/stage_c_structural/STR_104/instances/stress_N0400_A100_C080_DL_O110_S20268104,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O110_S20268104/RCG_ED/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O110_S20268104/RCG_ED/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O110_S20268104/RCG_ED/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O110_S20268104/RCG_ED/repeat_01/job_result.json,400,1.0,0.8,L,1.1,20268104,20268104,2854071.003862048,2854071.003862048,2854071.003862048,,,,,,,1.0,False,,,,,,,True,308,92,,,0.0
3ffea813f7d60571efce0881263b65ea1f31ce3db2ecc4a02340efb72266ab52,FEASIBLE,C,stress_N0400_A100_C080_DL_O110_S20268104,COMPACT_GUROBI,1,20268104,601.3231788000012,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,93499a860c53ecbd016bc450555437cb614b4b8e3af39ebaae5f6629d947d4ac,c21edf4e0387166609cd3dcef900698cb574bd5e8bf3a8f9116cb6bf75ced682,data/instances/stage_c_structural/STR_104/instances/stress_N0400_A100_C080_DL_O110_S20268104,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O110_S20268104/COMPACT_GUROBI/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O110_S20268104/COMPACT_GUROBI/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O110_S20268104/COMPACT_GUROBI/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O110_S20268104/COMPACT_GUROBI/repeat_01/job_result.json,400,1.0,0.8,L,1.1,20268104,20268104,3857892.391480212,3857892.391480212,8488.041003690001,,,,,,,1.0,,,,,,,,False,0,400,,,0.9977998243231369
35396d617da660064f43fa1371b8f7f2c0700e287bc964afd26059a5af371dde,OPTIMAL,C,stress_N0400_A100_C080_DL_O090_S20269018,RCG_ED,1,20269018,61.934214599998086,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,1b61040f2f844b4b6442ab7dfc2234d8f5b44f1d42c05fffe2a8f60e249f2e4f,fd7b2097d442fea33c2d40a5faf98e27dbd00fa56ad2f2b28834110fd0d53300,data/instances/stage_c_structural/REP_18/instances/stress_N0400_A100_C080_DL_O090_S20269018,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20269018/RCG_ED/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20269018/RCG_ED/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20269018/RCG_ED/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20269018/RCG_ED/repeat_01/job_result.json,400,1.0,0.8,L,0.9,20269018,20269018,2842017.183073848,2842017.183073848,2842017.183073848,,,,,,,0.0,False,,,,,,,True,267,133,,,0.0
476bb859934c0ed05c9936bf6526ce8ec50a1a81971c3b53e0091f20b186a091,OPTIMAL,C,stress_N0400_A100_C080_DL_O090_S20269018,COMPACT_GUROBI,1,20269018,321.40111949999846,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,1d4bcc23cdf075313b6f43abe62541a821491bfc574d8424e8359821cb554e98,fd7b2097d442fea33c2d40a5faf98e27dbd00fa56ad2f2b28834110fd0d53300,data/instances/stage_c_structural/REP_18/instances/stress_N0400_A100_C080_DL_O090_S20269018,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20269018/COMPACT_GUROBI/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20269018/COMPACT_GUROBI/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20269018/COMPACT_GUROBI/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20269018/COMPACT_GUROBI/repeat_01/job_result.json,400,1.0,0.8,L,0.9,20269018,20269018,2842017.1830738485,2842017.1830738485,2842017.1830738485,,,,,,,1.0,,,,,,,,True,267,133,,,0.0
da11655b5eee897b35486ea1d09f6373d7b2b48aae8a176ffe8e089766170374,OPTIMAL,C,stress_N0400_A100_C080_DL_O090_S20268103,RCG_ED,1,20268103,51.958963900000526,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,6468f48bd8cc3ff5f653ed4ee55d24540cc27b0c5e3f763c6c32a3d23845469b,dac6d7604dd42d254d20b91453617d1ca04a76820fbe7773d8ee1a65493155f1,data/instances/stage_c_structural/STR_103/instances/stress_N0400_A100_C080_DL_O090_S20268103,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20268103/RCG_ED/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20268103/RCG_ED/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20268103/RCG_ED/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20268103/RCG_ED/repeat_01/job_result.json,400,1.0,0.8,L,0.9,20268103,20268103,2724363.5506631713,2724363.5506631713,2724363.5506631713,,,,,,,1.0,False,,,,,,,True,258,142,,,0.0
722513ac1f41cdc90c22bf0837430ca2fc44706115a087ea0f1c9b151d0f5d5c,OPTIMAL,C,stress_N0400_A100_C080_DL_O090_S20268103,COMPACT_GUROBI,1,20268103,397.74071059999915,600.0,0,0632d874f83c5adf8bffe9963edb486eb015c5edb36ef5016d6e122503a223b2,e90ecbd4df4b696144b81eb8632dc148454c814d0767e3c320b42bbbeb148c48,4bf15a228e6011c7aa42e55d4345a19750102e434e3ba2c3eb17b33f3913f66c,dac6d7604dd42d254d20b91453617d1ca04a76820fbe7773d8ee1a65493155f1,data/instances/stage_c_structural/STR_103/instances/stress_N0400_A100_C080_DL_O090_S20268103,,,,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20268103/COMPACT_GUROBI/repeat_01/result.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20268103/COMPACT_GUROBI/repeat_01/independent_validation.json,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20268103/COMPACT_GUROBI/repeat_01/process_stdout.log,run_state/stage_c_jobs/stress_N0400_A100_C080_DL_O090_S20268103/COMPACT_GUROBI/repeat_01/job_result.json,400,1.0,0.8,L,0.9,20268103,20268103,2724363.5506631704,2724363.5506631704,2724363.5506631704,,,,,,,1.0,,,,,,,,True,258,142,,,0.0
