scenario_id,probability,empty_risk_per_km
S001,0.01,0.0023780544
S002,0.01,0.00125
S003,0.01,0.0039285635
S004,0.01,0.00125
S005,0.01,0.005860421
S006,0.01,0.0068190915
S007,0.01,0.00125
S008,0.01,0.0049121686
S009,0.01,0.0042086943
S010,0.01,0.00125
S011,0.01,0.00125
S012,0.01,0.00125
S013,0.01,0.0059587021
S014,0.01,0.00125
S015,0.01,0.00125
S016,0.01,0.0055955497
S017,0.01,0.0039548145
S018,0.01,0.0049121686
S019,0.01,0.0099298994
S020,0.01,0.0025060512
S021,0.01,0.0064394281
S022,0.01,0.0091499209
S023,0.01,0.0037540378
S024,0.01,0.00125
S025,0.01,0.0040336602
S026,0.01,0.0023901186
S027,0.01,0.0078847997
S028,0.01,0.0038082421
S029,0.01,0.006076125
S030,0.01,0.0043756448
S031,0.01,0.0042374403
S032,0.01,0.0030073282
S033,0.01,0.0030838469
S034,0.01,0.0033433423
S035,0.01,0.0033322576
S036,0.01,0.0053804063
S037,0.01,0.0035996524
S038,0.01,0.007092459
S039,0.01,0.0045693173
S040,0.01,0.00125
S041,0.01,0.00125
S042,0.01,0.0036717729
S043,0.01,0.0077428963
S044,0.01,0.018484252
S045,0.01,0.0027730216
S046,0.01,0.0027730216
S047,0.01,0.0034548269
S048,0.01,0.0039709374
S049,0.01,0.0028685828
S050,0.01,0.0025379436
S051,0.01,0.00125
S052,0.01,0.0042261413
S053,0.01,0.00125
S054,0.01,0.0029478677
S055,0.01,0.0016335079
S056,0.01,0.0130307971
S057,0.01,0.0058979794
S058,0.01,0.00125
S059,0.01,0.0033322576
S060,0.01,0.007315445
S061,0.01,0.0029324669
S062,0.01,0.00125
S063,0.01,0.0034919078
S064,0.01,0.0034351869
S065,0.01,0.00125
S066,0.01,0.0046765818
S067,0.01,0.00125
S068,0.01,0.0055955497
S069,0.01,0.0023894928
S070,0.01,0.0077428963
S071,0.01,0.0032161683
S072,0.01,0.0059587021
S073,0.01,0.0026944338
S074,0.01,0.003539258
S075,0.01,0.0042261413
S076,0.01,0.0119354768
S077,0.01,0.00125
S078,0.01,0.0091905883
S079,0.01,0.0081336256
S080,0.01,0.00125
S081,0.01,0.0054116053
S082,0.01,0.0028630946
S083,0.01,0.00125
S084,0.01,0.0131545038
S085,0.01,0.0043119829
S086,0.01,0.0017562323
S087,0.01,0.0060143286
S088,0.01,0.0096759339
S089,0.01,0.0046765818
S090,0.01,0.005858483
S091,0.01,0.0042793304
S092,0.01,0.0031673649
S093,0.01,0.0043119829
S094,0.01,0.0033460372
S095,0.01,0.0024789123
S096,0.01,0.00125
S097,0.01,0.0018950749
S098,0.01,0.0026870898
S099,0.01,0.0032292597
S100,0.01,0.0041106678
