scenario_id,probability,empty_risk_per_km
S001,0.01,0.0016872599
S002,0.01,0.00125
S003,0.01,0.0044157314
S004,0.01,0.0025379436
S005,0.01,0.0024075552
S006,0.01,0.0038232984
S007,0.01,0.00125
S008,0.01,0.0033460372
S009,0.01,0.0028285692
S010,0.01,0.0046765818
S011,0.01,0.0023692356
S012,0.01,0.0022879932
S013,0.01,0.0078847997
S014,0.01,0.0038505244
S015,0.01,0.00125
S016,0.01,0.0041194761
S017,0.01,0.0026870898
S018,0.01,0.0029478677
S019,0.01,0.0024789123
S020,0.01,0.0039709374
S021,0.01,0.00125
S022,0.01,0.0019145619
S023,0.01,0.0024164242
S024,0.01,0.0039285635
S025,0.01,0.00125
S026,0.01,0.0034096723
S027,0.01,0.00125
S028,0.01,0.0034515622
S029,0.01,0.0068190915
S030,0.01,0.00125
S031,0.01,0.00125
S032,0.01,0.0033322576
S033,0.01,0.0022986177
S034,0.01,0.0068000162
S035,0.01,0.0035569589
S036,0.01,0.0077428963
S037,0.01,0.0045153486
S038,0.01,0.0022986177
S039,0.01,0.0051074867
S040,0.01,0.0079872906
S041,0.01,0.0047132632
S042,0.01,0.0046147029
S043,0.01,0.0087740669
S044,0.01,0.00125
S045,0.01,0.0077129978
S046,0.01,0.00125
S047,0.01,0.0032292597
S048,0.01,0.0034096723
S049,0.01,0.0064681993
S050,0.01,0.0028958106
S051,0.01,0.00125
S052,0.01,0.00125
S053,0.01,0.003016771
S054,0.01,0.00125
S055,0.01,0.0042709193
S056,0.01,0.007315445
S057,0.01,0.0029324669
S058,0.01,0.0046821293
S059,0.01,0.00125
S060,0.01,0.0024108065
S061,0.01,0.0068000162
S062,0.01,0.0042359371
S063,0.01,0.0027778044
S064,0.01,0.00125
S065,0.01,0.00125
S066,0.01,0.00125
S067,0.01,0.00499034
S068,0.01,0.0038695577
S069,0.01,0.002834191
S070,0.01,0.0033092003
S071,0.01,0.00125
S072,0.01,0.0026274415
S073,0.01,0.0053964347
S074,0.01,0.0061030897
S075,0.01,0.0042793304
S076,0.01,0.0079429357
S077,0.01,0.0036695469
S078,0.01,0.0062563572
S079,0.01,0.0035126079
S080,0.01,0.0022879932
S081,0.01,0.0028630946
S082,0.01,0.0024789123
S083,0.01,0.0130307971
S084,0.01,0.0056160558
S085,0.01,0.0028500885
S086,0.01,0.0029579387
S087,0.01,0.0054572339
S088,0.01,0.0032827049
S089,0.01,0.00125
S090,0.01,0.002523963
S091,0.01,0.0035750171
S092,0.01,0.0033322576
S093,0.01,0.00125
S094,0.01,0.0063989582
S095,0.01,0.00125
S096,0.01,0.0047132632
S097,0.01,0.0016872599
S098,0.01,0.0038695577
S099,0.01,0.0097599281
S100,0.01,0.005955006
