source_result_file,completed,instance_name,method,method_id,algorithm_name,algorithm_version,repeat,success,optimal_certified,objective,best_bound,global_gap,reduced_cost_filtering_complete,root_pricing_complete,total_wall_seconds,root_seconds,enumeration_seconds,finite_master_seconds,enumeration_complete,incomplete_reason,enumerated_route_count,explored_prefix_count,pruned_prefix_count,relevant_reduced_cost_cutoff,finite_master_gap,implicit_closure_used,implicit_closure_seconds,network_filter_seconds,root_cg_time,reduced_cost_filter_time,filtered_compact_build_time,filtered_compact_mip_time,fallback_bp_time,independent_validation_time,sparse_filtered_model_used
EXP2_CVAR_ABLATION/OFF/GD-4-250-2_REVISED_DERIVED/repeat_01/result.json,True,GD-4-250-2_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,1,True,True,46357.24385236132,46357.24385236132,0.0,True,True,17.10069609999482,17.033491900001536,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,17.033491900001536,0.0,0.0,0.0,0.0,0.0023520999966422096,False
EXP2_CVAR_ABLATION/OFF/GD-4-250-2_REVISED_DERIVED/repeat_02/result.json,True,GD-4-250-2_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,2,True,True,46357.24385236132,46357.24385236132,0.0,True,True,17.36527429999842,17.290340100007597,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,17.290340100007597,0.0,0.0,0.0,0.0,0.0023662000021431595,False
EXP2_CVAR_ABLATION/OFF/GD-4-250-2_REVISED_DERIVED/repeat_03/result.json,True,GD-4-250-2_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,3,True,True,46357.24385236132,46357.24385236132,0.0,True,True,17.7753328000108,17.711123000000953,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,17.711123000000953,0.0,0.0,0.0,0.0,0.0022547999978996813,False
EXP2_CVAR_ABLATION/OFF/GD-4-250-5_REVISED_DERIVED/repeat_01/result.json,True,GD-4-250-5_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,1,True,True,47151.28316899456,47151.28316899456,0.0,True,True,17.222324300004402,17.15515900000173,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,17.15515900000173,0.0,0.0,0.0,0.0,0.002482900003087707,False
EXP2_CVAR_ABLATION/OFF/GD-4-250-5_REVISED_DERIVED/repeat_02/result.json,True,GD-4-250-5_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,2,True,True,47151.28316899456,47151.28316899456,0.0,True,True,17.393758099991828,17.309586199990008,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,17.309586199990008,0.0,0.0,0.0,0.0,0.0027457999967737123,False
EXP2_CVAR_ABLATION/OFF/GD-4-250-5_REVISED_DERIVED/repeat_03/result.json,True,GD-4-250-5_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,3,True,True,47151.28316899456,47151.28316899456,0.0,True,True,17.383640100000775,17.307702399994014,0.0,0.0,False,root_already_certified,0,0,0,0.0,0.0,False,0.0,0.0,17.307702399994014,0.0,0.0,0.0,0.0,0.0026046000130008906,False
EXP2_CVAR_ABLATION/OFF/GD-4-250-9_REVISED_DERIVED/repeat_01/result.json,True,GD-4-250-9_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,1,True,True,45929.291180134336,45929.29118013434,0.0,True,True,16.760021500012954,16.70364910000353,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,16.70364910000353,0.0,0.0,0.0,0.0,0.002696800002013333,False
EXP2_CVAR_ABLATION/OFF/GD-4-250-9_REVISED_DERIVED/repeat_02/result.json,True,GD-4-250-9_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,2,True,True,45929.291180134336,45929.29118013434,0.0,True,True,16.873635199997807,16.814826599991648,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,16.814826599991648,0.0,0.0,0.0,0.0,0.00283060000219848,False
EXP2_CVAR_ABLATION/OFF/GD-4-250-9_REVISED_DERIVED/repeat_03/result.json,True,GD-4-250-9_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,3,True,True,45929.291180134336,45929.29118013434,0.0,True,True,16.71500469998864,16.661890499992296,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,16.661890499992296,0.0,0.0,0.0,0.0,0.002570299999206327,False
EXP2_CVAR_ABLATION/OFF/GD-4-500-1_REVISED_DERIVED/repeat_01/result.json,False,GD-4-500-1_REVISED_DERIVED,ECP-RCG-ED,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP2_CVAR_ABLATION/OFF/GD-4-500-1_REVISED_DERIVED/repeat_02/result.json,False,GD-4-500-1_REVISED_DERIVED,ECP-RCG-ED,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP2_CVAR_ABLATION/OFF/GD-4-500-1_REVISED_DERIVED/repeat_03/result.json,False,GD-4-500-1_REVISED_DERIVED,ECP-RCG-ED,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP2_CVAR_ABLATION/OFF/GD-4-500-5_REVISED_DERIVED/repeat_01/result.json,True,GD-4-500-5_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,1,True,True,93672.21016294768,93672.21016294765,0.0,True,True,249.29737520001072,248.94687850000628,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,248.94687850000628,0.0,0.0,0.0,0.0,0.0097037000086857,False
EXP2_CVAR_ABLATION/OFF/GD-4-500-5_REVISED_DERIVED/repeat_02/result.json,True,GD-4-500-5_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,2,True,True,93672.21016294768,93672.21016294765,0.0,True,True,243.84485199999472,242.11852619999263,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,242.11852619999263,0.0,0.0,0.0,0.0,0.09970720000274014,False
EXP2_CVAR_ABLATION/OFF/GD-4-500-5_REVISED_DERIVED/repeat_03/result.json,True,GD-4-500-5_REVISED_DERIVED,ECP-RCG-ED,ECP_RCG_ED,Equivalence-Class Pricing–Enhanced RCG-ED,final,3,True,True,93672.21016294768,93672.21016294765,0.0,True,True,270.3023531999934,269.91027320000285,0.0,0.0,False,root_bound_closure_certified,0,0,0,0.0,0.0,False,0.0,0.0,269.91027320000285,0.0,0.0,0.0,0.0,0.009140499998466112,False
