scenario_id,probability,empty_risk_per_km
S001,0.01,0.0025938111
S002,0.01,0.0025566039
S003,0.01,0.0046577054
S004,0.01,0.00125
S005,0.01,0.00125
S006,0.01,0.0049121686
S007,0.01,0.0038458343
S008,0.01,0.0091905883
S009,0.01,0.00125
S010,0.01,0.013737937
S011,0.01,0.0033460372
S012,0.01,0.0025500875
S013,0.01,0.0070488988
S014,0.01,0.00125
S015,0.01,0.00125
S016,0.01,0.00125
S017,0.01,0.0062277188
S018,0.01,0.0022758004
S019,0.01,0.0033460372
S020,0.01,0.00125
S021,0.01,0.00125
S022,0.01,0.0032161683
S023,0.01,0.00125
S024,0.01,0.0032418974
S025,0.01,0.007212684
S026,0.01,0.0046765818
S027,0.01,0.0023635701
S028,0.01,0.0026274415
S029,0.01,0.00125
S030,0.01,0.004234179
S031,0.01,0.00125
S032,0.01,0.00125
S033,0.01,0.0091042844
S034,0.01,0.010453084
S035,0.01,0.0022758004
S036,0.01,0.0028685828
S037,0.01,0.0042359371
S038,0.01,0.0019145619
S039,0.01,0.013737937
S040,0.01,0.007999282
S041,0.01,0.00125
S042,0.01,0.0043416926
S043,0.01,0.0019145619
S044,0.01,0.0051074867
S045,0.01,0.00125
S046,0.01,0.0030838469
S047,0.01,0.0077087696
S048,0.01,0.0043119829
S049,0.01,0.00125
S050,0.01,0.0042709193
S051,0.01,0.00125
S052,0.01,0.0048697547
S053,0.01,0.00125
S054,0.01,0.0045693173
S055,0.01,0.006052092
S056,0.01,0.0038695577
S057,0.01,0.0051502653
S058,0.01,0.0049219416
S059,0.01,0.0069039903
S060,0.01,0.0053804063
S061,0.01,0.0046821293
S062,0.01,0.00125
S063,0.01,0.00125
S064,0.01,0.0049121686
S065,0.01,0.0016187712
S066,0.01,0.0028907155
S067,0.01,0.0032161683
S068,0.01,0.0038406797
S069,0.01,0.00125
S070,0.01,0.00125
S071,0.01,0.00125
S072,0.01,0.00125
S073,0.01,0.005860421
S074,0.01,0.0082828512
S075,0.01,0.0059605681
S076,0.01,0.0035612108
S077,0.01,0.00125
S078,0.01,0.0032292597
S079,0.01,0.0054572339
S080,0.01,0.00125
S081,0.01,0.0051502653
S082,0.01,0.003782932
S083,0.01,0.0033212098
S084,0.01,0.0032827049
S085,0.01,0.0070488988
S086,0.01,0.00125
S087,0.01,0.0019145619
S088,0.01,0.0064681993
S089,0.01,0.0039243074
S090,0.01,0.0085142503
S091,0.01,0.0051074867
S092,0.01,0.0057578043
S093,0.01,0.003782932
S094,0.01,0.0038406797
S095,0.01,0.0031986641
S096,0.01,0.0084357526
S097,0.01,0.00125
S098,0.01,0.0036695469
S099,0.01,0.0020130758
S100,0.01,0.005216074
