instance_id,N,repeat,on_status,off_status,on_certificate,off_certificate,on_validation,off_validation,on_objective,off_objective,objectives_match,on_runtime_s,off_runtime_s,total_speedup_off_over_on,on_pricing_s,off_pricing_s,pricing_speedup_off_over_on,on_lp_s,off_lp_s,on_profile_count,off_profile_count,on_cache_hits,off_cache_hits,on_iterations,off_iterations,on_columns,off_columns,paired_exact_valid
GD-4-250-2_REVISED_DERIVED,250,1,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43651.65,43651.65,True,4.67541280000296,11.060391500010155,2.365650258732909,0.5124177999823587,7.0087854999583215,13.677872822137749,1.182002100002137,1.1309135000046808,4,63,59,0,29,29,46712,46712,True
GD-4-250-2_REVISED_DERIVED,250,2,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43651.65,43651.65,True,4.575418600012199,10.849859800000559,2.3713370837745056,0.6349449999979697,6.847561499977019,10.78449550748319,1.120887600001879,1.15988690002996,4,63,59,0,29,29,46712,46712,True
GD-4-250-2_REVISED_DERIVED,250,3,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43651.65,43651.65,True,4.3895552000030875,10.781690800009528,2.4562148802689494,0.5065439999452792,6.905556200028514,13.632687783834188,1.1070760000438895,1.10305349995906,4,63,59,0,29,29,46712,46712,True
GD-4-250-5_REVISED_DERIVED,250,1,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43657.65000000001,43657.65000000001,True,5.093893400000525,12.355968000003486,2.425643222137749,0.5634468000353081,7.785444100009045,13.817531840665655,1.5897032000357285,1.6001505000022007,4,68,64,0,30,30,50325,50325,True
GD-4-250-5_REVISED_DERIVED,250,2,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43657.65000000001,43657.65000000001,True,5.101381300002686,12.090486100001726,2.37004163950563,0.5488056000322104,7.606650100002298,13.860372597429492,1.6112078000442125,1.58907940001518,4,68,64,0,30,30,50325,50325,True
GD-4-250-5_REVISED_DERIVED,250,3,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43657.65000000001,43657.65000000001,True,5.013739899994107,13.64440379998996,2.72140240063231,0.5538273001002381,9.206047799962107,16.622596607815993,1.5960643000435084,1.5655087999912212,4,68,64,0,30,30,50325,50325,True
GD-4-250-9_REVISED_DERIVED,250,1,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43197.799999999996,43197.799999999996,True,3.2233663000079105,8.407940200006124,2.608434604526792,0.393243899976369,5.559888099960517,14.138523446376727,0.8211797999829287,0.8316134000051534,4,66,62,0,22,22,33096,33096,True
GD-4-250-9_REVISED_DERIVED,250,2,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43197.799999999996,43197.799999999996,True,3.1367379000002984,8.639743399995496,2.75437211377931,0.3802138000173727,5.680528299999423,14.940352769257373,0.8079785000154516,0.8729741999995895,4,66,62,0,22,22,33096,33096,True
GD-4-250-9_REVISED_DERIVED,250,3,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,43197.799999999996,43197.799999999996,True,3.0974485000042478,8.213590700004715,2.6517279302604875,0.38059050000447314,5.48771570000099,14.418950814422567,0.8025441000063438,0.8099501999822678,4,66,62,0,22,22,33096,33096,True
GD-4-500-1_REVISED_DERIVED,500,1,CERTIFIED_OPTIMAL,CERTIFIED_OPTIMAL,True,True,True,True,84422.5,84422.5,True,52.01153289999638,145.88226470000518,2.804806099072218,3.747636099898955,98.67807519997586,26.330751591019325,34.98928849994263,34.22534899994207,4,115,111,0,60,60,194898,194898,True
