scenario_id,probability,empty_risk_per_km
S001,0.01,0.00125
S002,0.01,0.0074416989
S003,0.01,0.0119354768
S004,0.01,0.0077428963
S005,0.01,0.0021879685
S006,0.01,0.0042374403
S007,0.01,0.0069844469
S008,0.01,0.00125
S009,0.01,0.0046821293
S010,0.01,0.0016335079
S011,0.01,0.00125
S012,0.01,0.0058979794
S013,0.01,0.0035569589
S014,0.01,0.005858483
S015,0.01,0.0035126079
S016,0.01,0.003962464
S017,0.01,0.00125
S018,0.01,0.0033212098
S019,0.01,0.0026051336
S020,0.01,0.0028500885
S021,0.01,0.0038582525
S022,0.01,0.0070488988
S023,0.01,0.0049979671
S024,0.01,0.0063202715
S025,0.01,0.0039548145
S026,0.01,0.0023635701
S027,0.01,0.0042166957
S028,0.01,0.0054085936
S029,0.01,0.0079872906
S030,0.01,0.006006208
S031,0.01,0.0070434956
S032,0.01,0.0035569589
S033,0.01,0.00125
S034,0.01,0.004230708
S035,0.01,0.00125
S036,0.01,0.00125
S037,0.01,0.0040598433
S038,0.01,0.0028958106
S039,0.01,0.0052189382
S040,0.01,0.0026944338
S041,0.01,0.00125
S042,0.01,0.0099298994
S043,0.01,0.0081336256
S044,0.01,0.0054572339
S045,0.01,0.0057578043
S046,0.01,0.0025264019
S047,0.01,0.00125
S048,0.01,0.0034548269
S049,0.01,0.0053465583
S050,0.01,0.0046821293
S051,0.01,0.0035840763
S052,0.01,0.00125
S053,0.01,0.0082828512
S054,0.01,0.00125
S055,0.01,0.00125
S056,0.01,0.0040598433
S057,0.01,0.0025566039
S058,0.01,0.00125
S059,0.01,0.00125
S060,0.01,0.0039591921
S061,0.01,0.00125
S062,0.01,0.0024164242
S063,0.01,0.0109788362
S064,0.01,0.004230708
S065,0.01,0.002741511
S066,0.01,0.006352115
S067,0.01,0.00125
S068,0.01,0.0038458343
S069,0.01,0.0018231154
S070,0.01,0.00125
S071,0.01,0.002770375
S072,0.01,0.0029584893
S073,0.01,0.0020130758
S074,0.01,0.0032756467
S075,0.01,0.0031052233
S076,0.01,0.0046765818
S077,0.01,0.0064211586
S078,0.01,0.0042166957
S079,0.01,0.0084888989
S080,0.01,0.0043622462
S081,0.01,0.0019273821
S082,0.01,0.00125
S083,0.01,0.0023894928
S084,0.01,0.00125
S085,0.01,0.0119354768
S086,0.01,0.0026051336
S087,0.01,0.00125
S088,0.01,0.003782932
S089,0.01,0.0037169458
S090,0.01,0.00125
S091,0.01,0.0055881595
S092,0.01,0.0039709374
S093,0.01,0.00125
S094,0.01,0.0089009947
S095,0.01,0.00125
S096,0.01,0.00125
S097,0.01,0.00125
S098,0.01,0.002770375
S099,0.01,0.0049121686
S100,0.01,0.0042457405
